survey,KAIT4-B,KAIT4-V,KAIT4-R,KAIT4-I,PS1-g,PS1-r,PS1-i,PS1-z,RA,DEC
KAIT4,15.095536,14.269392,13.6992235,13.151441,14.582500457763672,13.863100051879883,13.613699913024902,13.526200294494629,182.04883618,65.20134351
KAIT4,15.978179,15.292246,14.815395,14.312349,15.53439998626709,14.963000297546387,14.744500160217285,14.639300346374512,182.04696055,65.16362366
KAIT4,16.675386,16.03852,15.594174,15.137499,16.57939910888672,15.964300155639648,15.623600006103516,15.413800239562988,182.05284964,65.17133478
KAIT4,14.372144,13.958181,13.660489,13.281318,14.06089973449707,13.770400047302246,13.675999641418457,13.613900184631348,85.51950818,18.52127602
KAIT4,15.095086,14.483644,14.056107,13.560084,14.689900398254395,14.169099807739258,13.962499618530273,13.870200157165527,85.46379734,18.5208303
KAIT4,15.007581,14.475953,14.101052,13.6657915,14.639100074768066,14.226200103759766,14.066900253295898,13.996899604797363,85.49188146,18.47180309
KAIT4,16.060305,15.077995,14.403139,13.673506,15.482199668884277,14.576399803161621,14.137299537658691,13.910900115966797,85.43646507,18.5051138
KAIT4,15.788357,15.120603,14.655804,14.134505,15.35509967803955,14.804699897766113,14.556400299072266,14.445500373840332,85.4805157,18.4771788
KAIT4,15.73089,15.196544,14.819854,14.370564,15.358099937438965,14.956399917602539,14.773099899291992,14.691499710083008,85.47793823,18.51201936
KAIT4,16.267954,15.457307,14.897485,14.336143,15.768899917602539,15.059300422668457,14.777099609375,14.643500328063965,85.45905098,18.47581677
KAIT4,16.443727,15.533625,14.907272,14.211871,15.898099899291992,15.087400436401367,14.672200202941895,14.444499969482422,85.43915169,18.52216029
KAIT4,16.222187,15.589864,15.148522,14.632067,15.810099601745605,15.291299819946289,15.048399925231934,14.9399995803833,85.50957791,18.49344677
KAIT4,16.186749,15.6360855,15.2486515,14.817742,15.805399894714355,15.389599800109863,15.218899726867676,15.14780044555664,85.46778096,18.4771388
KAIT4,15.880945,15.555494,15.315576,15.023695,15.614399909973145,15.44320011138916,15.397899627685547,15.377400398254395,85.51841975,18.50883106
KAIT4,16.55812,15.88673,15.419523,14.873281,16.12310028076172,15.561599731445312,15.2923002243042,15.1673002243042,85.46029692,18.52062439
KAIT4,16.766735,16.034414,15.52676,14.939131,16.30459976196289,15.68340015411377,15.374199867248535,15.224200248718262,85.48945242,18.46810511
KAIT4,17.830395,16.811483,16.111973,15.355839,17.23940086364746,16.30069923400879,15.832900047302246,15.571700096130371,85.44098524,18.53436782
KAIT4,17.342247,16.641766,16.155264,15.5899105,16.901399612426758,16.302099227905273,16.01569938659668,15.878299713134766,85.51769921,18.49799023
KAIT4,17.443169,16.701744,16.188042,15.630247,16.98189926147461,16.353900909423828,16.062999725341797,15.925600051879883,85.43721549,18.51037295
KAIT4,17.72689,16.828661,16.210268,15.569042,17.20840072631836,16.3843994140625,16.031200408935547,15.858200073242188,85.47313735,18.46729326
KAIT4,17.456799,16.788136,16.322731,15.783614,17.02429962158203,16.482200622558594,16.20789909362793,16.086999893188477,85.49182677,18.5206644
KAIT4,17.688263,16.924078,16.395227,15.800118,17.21619987487793,16.552099227905273,16.24570083618164,16.09149932861328,85.4815532,18.52487884
KAIT4,14.578669,13.846798,13.335355,12.750223,13.857000350952148,13.105600357055664,-999.0,13.11340045928955,210.80691285,54.26199032
KAIT4,15.909346,14.865331,14.048985,13.28226,14.918399810791016,14.239299774169922,13.781999588012695,13.575200080871582,210.84318422,54.26006183
KAIT4,15.630628,15.034615,14.617271,14.148141,15.235199928283691,14.759900093078613,14.560700416564941,14.498000144958496,50.7112309,1.40720232
KAIT4,16.893816,16.38665,16.02784,15.593607,16.541400909423828,16.16230010986328,16.003000259399414,15.962499618530273,50.70843159,1.33712167
KAIT4,17.952988,17.302496,16.84913,16.36177,17.537399291992188,16.997699737548828,16.785400390625,16.70509910583496,50.72790753,1.39943943
KAIT4,15.57164,15.069003,14.713168,14.326637,15.220100402832031,14.854499816894531,14.727499961853027,14.685400009155273,295.92001242,56.13355443
KAIT4,16.246824,15.491744,14.968955,14.433733,15.774399757385254,15.132699966430664,14.86769962310791,14.7701997756958,295.88809341,56.08879538
KAIT4,16.6494,15.837842,15.277411,14.703177,16.200700759887695,15.423199653625488,15.150699615478516,15.024700164794922,295.90861301,56.10528345
KAIT4,16.559738,15.874713,15.398466,14.919158,16.122600555419922,15.55109977722168,15.352100372314453,15.27280044555664,295.91045576,56.07687969
KAIT4,16.758074,16.275358,15.932608,15.502367,16.403400421142578,16.061500549316406,15.896300315856934,15.85260009765625,295.89305159,56.1115834
KAIT4,18.858097,17.710867,16.92459,16.128044,18.22879981994629,17.132699966430664,16.64310073852539,16.438499450683594,38.0282859,1.26061164
KAIT4,18.713524,17.799768,17.170967,16.51866,18.166400909423828,17.327699661254883,16.990699768066406,16.847000122070312,37.98031817,1.28938743
KAIT4,18.597647,17.987112,17.560173,17.115498,18.22920036315918,17.732999801635742,17.55069923400879,17.504199981689453,37.9597577,1.23074529
KAIT4,14.28262,13.82796,13.503616,13.108238,13.95460033416748,13.629500389099121,13.51099967956543,13.511199951171875,148.84363655,69.63319135
KAIT4,17.093258,16.245224,15.66043,15.091194,16.523500442504883,15.799699783325195,15.585599899291992,15.418700218200684,148.94200945,69.70053267
KAIT4,17.798342,16.590498,15.763057,14.631605,17.10260009765625,15.964500427246094,15.14430046081543,14.765399932861328,330.42421172,-21.54037237
KAIT4,17.501932,16.946737,16.556316,16.131937,17.1294002532959,16.700899124145508,16.545299530029297,16.513700485229492,330.38081233,-21.53753133
KAIT4,16.22564,15.743829,15.401673,15.007002,15.888699531555176,15.53969955444336,15.41469955444336,15.385100364685059,20.20372087,4.7874524
KAIT4,17.263056,16.519812,16.004896,15.485411,16.800199508666992,16.15920066833496,15.927300453186035,15.84119987487793,20.19588365,4.79107369
KAIT4,15.5223055,14.94353,14.537561,14.088575,15.130900382995605,14.683899879455566,14.504199981689453,14.447099685668945,241.36866236,17.57161405
KAIT4,16.144375,15.382011,14.854374,14.309695,15.679300308227539,15.014300346374512,14.754599571228027,14.655500411987305,241.41335081,17.60788682
KAIT4,16.985966,16.257282,15.752048,15.235702,16.523099899291992,15.914799690246582,15.679100036621094,15.581600189208984,17.74060878,15.47912814
KAIT4,17.639015,16.716125,16.081198,15.379863,17.09469985961914,16.26300048828125,15.856900215148926,15.65250015258789,17.67667064,15.44426688
KAIT4,18.065863,17.343552,16.84255,16.28629,17.608400344848633,16.988000869750977,16.701900482177734,16.573299407958984,17.69252527,15.44986166
KAIT4,18.712036,17.530834,16.721502,15.931249,18.036399841308594,16.926599502563477,16.445999145507812,16.219999313354492,185.59234524,65.8626819
KAIT4,18.83779,17.651073,16.837996,15.968447,18.175600051879883,17.05769920349121,16.486000061035156,16.224899291992188,169.88184373,54.46503243
KAIT4,16.373495,15.111404,14.24702,13.175577,15.656100273132324,14.450900077819824,13.698599815368652,13.361300468444824,359.19345111,5.53119314
KAIT4,16.692057,15.948812,15.433896,14.909481,16.23110008239746,15.587400436401367,15.355199813842773,15.25510025024414,359.18365076,5.47759139
KAIT4,17.790155,16.999557,16.45311,15.904205,17.300600051879883,16.619300842285156,16.358200073242188,16.244199752807617,359.21820067,5.53297267
KAIT4,17.728586,17.08718,16.639828,16.169964,17.299999237060547,16.80299949645996,16.608999252319336,16.52050018310547,359.19812555,5.54367726
KAIT4,14.926312,14.376555,13.9897175,13.579589,14.551400184631348,14.124099731445312,13.991299629211426,13.947199821472168,317.96395749,-0.21898293
KAIT4,16.527992,15.966449,15.571846,15.146946,16.161800384521484,15.727999687194824,15.562399864196777,15.512100219726562,317.9981836,-0.254575
KAIT4,17.514091,16.989716,16.619583,16.187878,17.138500213623047,16.72920036315918,16.563800811767578,16.504499435424805,317.99766977,-0.22371484
KAIT4,18.03628,17.420298,16.989763,16.529854,17.636699676513672,17.143199920654297,16.951900482177734,16.890100479125977,318.02702372,-0.21383404
KAIT4,17.667902,16.61969,15.900414,15.154835,17.059799194335938,16.091299057006836,15.64050006866455,15.415599822998047,44.61021236,6.63282296
KAIT4,17.118477,16.497955,16.064419,15.553854,16.708099365234375,16.215499877929688,15.985899925231934,15.89900016784668,44.54786147,6.60659701
KAIT4,18.932165,17.742695,16.927744,16.117144,18.253599166870117,17.122499465942383,16.617300033569336,16.37150001525879,44.58070919,6.63293745
KAIT4,17.604706,16.823217,16.28284,15.768188,17.12150001525879,16.447399139404297,16.214399337768555,16.131500244140625,280.02247346,40.08519063
KAIT4,17.744595,17.080475,16.618084,16.122715,17.307600021362305,16.77079963684082,16.562599182128906,16.490999221801758,280.07848515,40.12048878
KAIT4,17.881649,17.202988,16.73096,16.254137,17.450300216674805,16.891000747680664,16.689800262451172,16.627399444580078,279.99295233,40.09146141
KAIT4,17.785313,17.235558,16.848717,16.411968,17.405099868774414,16.9960994720459,16.82390022277832,16.790000915527344,280.07508277,40.12059239
KAIT4,17.932451,17.399012,17.022919,16.573706,17.566099166870117,17.173999786376953,16.98699951171875,16.915599822998047,280.05990503,40.0838743
KAIT4,16.37138,15.865121,15.506905,15.087537,16.012100219726562,15.647700309753418,15.492899894714355,15.454000473022461,50.4766391,-15.35343674
KAIT4,16.26969,15.829502,15.514643,15.083,15.950699806213379,15.6048002243042,15.478500366210938,15.457799911499023,50.52346241,-15.37639668
KAIT4,17.50166,16.978184,16.60865,16.231249,17.12849998474121,16.769699096679688,16.64620018005371,16.62019920349121,50.54007717,-15.37056582
KAIT4,15.054428,14.583479,14.248452,13.874401,14.705100059509277,14.379899978637695,14.267800331115723,14.262200355529785,186.81624394,9.45746111
KAIT4,17.375717,16.293602,15.551423,14.76774,16.740800857543945,15.741399765014648,15.260000228881836,15.043899536132812,186.8231025,9.46478943
KAIT4,16.828283,16.382673,16.064259,15.701185,16.50819969177246,16.204999923706055,16.096799850463867,16.090999603271484,186.76547219,9.46036913
KAIT4,17.147186,16.693432,16.36968,15.999028,16.825300216674805,16.508100509643555,16.405000686645508,16.40049934387207,186.80614611,9.38270238
KAIT4,14.888986,14.398122,14.05002,13.680238,14.433199882507324,14.157400131225586,14.078900337219238,14.034099578857422,290.69286303,43.92382576
KAIT4,15.606495,15.052206,14.662383,14.254841,15.232099533081055,14.793499946594238,14.661399841308594,14.633899688720703,290.64714565,43.91937205
KAIT4,15.639254,15.095844,14.713186,14.3144245,15.272100448608398,14.847800254821777,14.712699890136719,14.670999526977539,290.70387995,43.89441797
KAIT4,16.536205,16.034475,15.679234,15.301651,16.187000274658203,15.816100120544434,15.693099975585938,15.682299613952637,290.68715777,43.89001559
KAIT4,16.777073,16.238195,15.8585205,15.450271,16.39579963684082,15.991999626159668,15.82859992980957,15.809300422668457,290.66994071,43.88635532
KAIT4,17.238955,16.428307,15.868485,15.305171,16.737699508666992,16.023399353027344,15.753100395202637,15.635000228881836,290.68086713,43.92034692
KAIT4,15.300918,14.63407,14.169873,13.644706,14.874500274658203,14.30739974975586,14.054100036621094,13.95930004119873,247.44284992,40.77945815
KAIT4,16.070429,15.557828,15.195442,14.780483,15.730500221252441,15.33549976348877,15.184700012207031,15.161700248718262,247.44534319,40.84269504
KAIT4,16.482386,15.845521,15.4011755,14.912946,16.071800231933594,15.550999641418457,15.333900451660156,15.271400451660156,247.46740918,40.79392877
KAIT4,16.264019,15.814788,15.494001,15.113864,15.940699577331543,15.623000144958496,15.506099700927734,15.503299713134766,247.46441611,40.80541018
KAIT4,16.548508,16.008724,15.628454,15.224074,16.186100006103516,15.76930046081543,15.6274995803833,15.606900215148926,247.41469948,40.78043065
KAIT4,16.546736,16.031418,15.667245,15.246144,16.190500259399414,15.801199913024902,15.647700309753418,15.6318998336792,247.46495584,40.80317128
KAIT4,17.859993,17.38995,17.055517,16.672667,17.541500091552734,17.20009994506836,17.06559944152832,17.075300216674805,247.47675935,40.79492613
KAIT4,18.243797,17.575134,17.109734,16.622871,17.822099685668945,17.269800186157227,17.057899475097656,16.98040008544922,247.43529911,40.77446677
KAIT4,14.673453,14.140013,13.763921,13.352174,14.292400360107422,14.00570011138916,13.741800308227539,13.702500343322754,170.33416879,34.35709063
KAIT4,17.463726,16.421925,15.706976,15.011191,16.85890007019043,15.895899772644043,15.50629997253418,15.334199905395508,170.38743638,34.3747484
KAIT4,16.909136,16.305862,15.883723,15.443583,16.514299392700195,16.03969955444336,15.871299743652344,15.832500457763672,170.37871135,34.36785981
KAIT4,16.246742,15.66706,15.260495,14.80256,15.843899726867676,15.391500473022461,15.205400466918945,15.140800476074219,263.12435592,7.04103483
KAIT4,16.615154,15.951943,15.490153,14.944574,16.18950080871582,15.636899948120117,15.364100456237793,15.248100280761719,263.13896037,7.04799102
KAIT4,16.486185,15.934616,15.546583,15.108699,16.084999084472656,15.675600051879883,15.512499809265137,15.45419979095459,263.12396534,7.04561342
KAIT4,16.701258,16.099802,15.678861,15.202386,16.297399520874023,15.822999954223633,15.629500389099121,15.562000274658203,263.12366727,7.10208776
KAIT4,16.838703,15.704315,14.92675,14.124279,16.18280029296875,15.110099792480469,14.612700462341309,14.322699546813965,325.8368013,43.54958422
KAIT4,16.385374,15.623012,15.095374,14.520129,15.907500267028809,15.250300407409668,14.95479965209961,14.823699951171875,325.87107587,43.56958399
KAIT4,16.90837,15.917828,15.237429,14.490395,16.302499771118164,15.384599685668945,14.919899940490723,14.675700187683105,325.87964751,43.58752441
KAIT4,16.712826,15.91676,15.366668,14.76014,16.211000442504883,15.522199630737305,15.199399948120117,15.05049991607666,325.83025116,43.54412717
KAIT4,16.904974,16.223585,15.749748,15.212559,16.4552001953125,15.897600173950195,15.644700050354004,15.50790023803711,325.86557037,43.56163161
KAIT4,17.30941,16.579815,16.073977,15.498397,16.852500915527344,16.2273006439209,15.9350004196167,15.809900283813477,325.85391473,43.54373877
KAIT4,16.977768,16.36905,15.943314,15.44554,16.59510040283203,16.099599838256836,15.879300117492676,15.798500061035156,55.56597496,39.24436924
KAIT4,18.318272,17.570477,17.052534,16.46761,17.851699829101562,17.216100692749023,16.909000396728516,16.779600143432617,55.62636802,39.25836571
KAIT4,18.231562,17.559263,17.091452,16.576689,17.78219985961914,17.255199432373047,17.02359962463379,16.919200897216797,55.61737421,39.23745482
KAIT4,14.950254,14.406844,14.024186,13.634298,14.578900337219238,14.171500205993652,14.04699993133545,14.00879955291748,171.23075099,-9.78913328
KAIT4,15.838737,15.106413,14.59876,14.102829,15.37909984588623,14.75529956817627,14.539400100708008,14.453200340270996,171.28428367,-9.82314189
KAIT4,16.550684,16.062532,15.716215,15.328911,16.20439910888672,15.861000061035156,15.72920036315918,15.712800025939941,171.23108421,-9.76853449
KAIT4,17.094854,16.60218,16.252888,15.879013,16.735599517822266,16.38759994506836,16.268999099731445,16.25979995727539,171.22199909,-9.79062898
KAIT4,17.373,16.825964,16.440918,16.045803,17.000900268554688,16.587099075317383,16.454700469970703,16.424699783325195,171.27741083,-9.75346046
KAIT4,17.53137,16.975267,16.584248,16.160782,17.17099952697754,16.72450065612793,16.582300186157227,16.529600143432617,171.27316416,-9.84321402
KAIT4,17.785437,17.072222,16.577267,16.101603,17.26810073852539,16.645200729370117,16.473100662231445,16.43600082397461,171.26213166,-9.82007499
KAIT4,15.278206,14.776474,14.421234,14.024918,14.931099891662598,14.559300422668457,14.429900169372559,14.400899887084961,36.38366143,41.85001381
KAIT4,16.602476,15.936539,15.472944,14.985317,16.174999237060547,15.628999710083008,15.406800270080566,15.337200164794922,36.379804,41.80955718
KAIT4,16.777819,16.235315,15.853252,15.434845,16.408599853515625,16.00320053100586,15.844900131225586,15.812999725341797,36.38164775,41.86429613
KAIT4,17.34337,16.787268,16.396248,15.979685,16.979900360107422,16.535600662231445,16.396900177001953,16.372299194335938,36.39074406,41.82739767
KAIT4,15.310922,14.853546,14.527423,14.1584425,14.985199928283691,14.657999992370605,14.55109977722168,14.525699615478516,128.61725616,-2.50006023
KAIT4,15.912736,15.180413,14.67276,14.181758,15.45580005645752,14.821700096130371,14.604000091552734,14.490699768066406,128.63427413,-2.56614969
KAIT4,15.961865,15.383999,14.97863,14.554367,15.569600105285645,15.123499870300293,14.958100318908691,14.90999984741211,128.60314376,-2.55390642
KAIT4,16.134378,15.648945,15.304412,14.928178,15.800399780273438,15.442399978637695,15.330599784851074,15.310999870300293,128.62680381,-2.50221727
KAIT4,16.22851,15.744887,15.401543,15.011652,15.887900352478027,15.540900230407715,15.418299674987793,15.38860034942627,128.61361362,-2.57556961
KAIT4,16.047817,15.276347,14.742645,14.176534,15.56779956817627,14.89169979095459,14.60260009765625,14.489299774169922,52.44813812,0.06883437
KAIT4,17.274866,16.552551,16.05155,15.508107,16.827499389648438,16.21489906311035,15.949000358581543,15.833999633789062,52.4815938,0.09556307
KAIT4,17.086819,16.486269,16.065928,15.595446,16.705299377441406,16.216400146484375,16.016799926757812,15.946499824523926,52.48654192,0.05291195
KAIT4,17.532585,16.891178,16.443829,15.93058,17.126300811767578,16.58650016784668,16.360200881958008,16.26490020751953,52.4596183,0.02788056
KAIT4,17.67012,17.081367,16.668814,16.199291,17.303199768066406,16.829999923706055,16.626300811767578,16.5492000579834,52.46506485,0.09943299
KAIT4,15.671509,15.187887,14.844542,14.4516945,15.33590030670166,14.981399536132812,14.85200023651123,14.8326997756958,39.52313633,-1.35239072
KAIT4,17.989645,16.719275,15.849245,14.439969,17.234899520874023,16.055599212646484,14.958499908447266,14.46679973602295,39.56361758,-1.31337933
KAIT4,17.337582,16.805954,16.431053,16.007624,16.97170066833496,16.57159996032715,16.422000885009766,16.379899978637695,27.87439101,19.13869581
KAIT4,18.128506,17.439842,16.961184,16.41059,17.690099716186523,17.129499435424805,16.857200622558594,16.72480010986328,27.92275037,19.14131483
KAIT4,18.42093,17.865736,17.475315,17.034176,18.05419921875,17.623899459838867,17.464399337768555,17.401199340820312,27.87411201,19.12100213
KAIT4,18.864084,18.252642,17.825108,17.323168,18.472000122070312,17.96739959716797,17.75659942626953,17.681699752807617,27.90786061,19.06347183
KAIT4,15.776499,15.032344,14.516824,13.959797,15.315299987792969,14.675999641418457,14.394000053405762,14.268099784851074,38.1342197,35.52067657
KAIT4,16.626865,16.06351,15.667711,15.207168,16.250099182128906,15.810400009155273,15.614999771118164,15.553000450134277,38.1319481,35.5008861
KAIT4,16.7773,16.404903,16.134375,15.804036,16.491199493408203,16.263999938964844,16.17840003967285,16.201400756835938,38.13737918,35.52166069
KAIT4,17.594053,16.793432,16.2403,15.67285,17.105300903320312,16.400800704956055,16.118200302124023,16.00279998779297,38.137816,35.44411654
KAIT4,18.21039,17.550816,17.091434,16.632915,17.77869987487793,17.26740074157715,17.07699966430664,17.00200080871582,162.83548193,8.56445395
KAIT4,18.260185,17.708614,17.320583,16.876783,17.877599716186523,17.4601993560791,17.303699493408203,17.2726993560791,162.86841484,8.60931527
KAIT4,17.130926,16.70069,16.392344,16.019705,16.819900512695312,16.532899856567383,16.41069984436035,16.398399353027344,20.06980329,3.45148363
KAIT4,18.991377,18.505947,18.161413,17.78419,18.662799835205078,18.32029914855957,18.214799880981445,18.126699447631836,20.05964141,3.43214587
KAIT4,16.942528,16.417244,16.046518,15.637415,16.57509994506836,16.196500778198242,16.048599243164062,16.013399124145508,55.53392159,-4.73031608
KAIT4,18.405365,17.091734,16.192162,15.055734,17.66010093688965,16.405399322509766,15.58430004119873,15.208200454711914,55.5875437,-4.71041622
KAIT4,17.837265,17.081278,16.557884,16.017658,17.38159942626953,16.724899291992188,16.457000732421875,16.35540008544922,55.57788409,-4.68825566
KAIT4,15.6094675,15.132183,14.792998,14.391801,15.272100448608398,14.92590045928955,14.793999671936035,14.767800331115723,7.45812806,31.41760556
KAIT4,16.56399,15.987937,15.583766,15.156693,16.177400588989258,15.724699974060059,15.56779956817627,15.517600059509277,7.48124086,31.39946456
KAIT4,16.541487,16.085018,15.759487,15.394526,16.20639991760254,15.890999794006348,15.790900230407715,15.782899856567383,7.48651328,31.39318585
KAIT4,17.337154,16.579344,16.054737,15.539016,16.87150001525879,16.212600708007812,15.979700088500977,15.878399848937988,7.47606394,31.36011943
KAIT4,17.571806,17.014795,16.62318,16.178934,17.2052001953125,16.769100189208984,16.592899322509766,16.531999588012695,7.46325177,31.40397212
KAIT4,17.611742,17.04657,16.649576,16.212547,17.237899780273438,16.791200637817383,16.629199981689453,16.587299346923828,7.43236992,31.37952269
KAIT4,15.159465,14.661356,14.308496,13.9036045,14.808099746704102,14.443400382995605,14.306500434875488,14.271100044250488,177.69721433,-28.7143324
KAIT4,15.4585085,14.918724,14.538454,14.101536,15.104700088500977,14.674799919128418,14.512700080871582,14.45300006866455,177.78212214,-28.72870281
KAIT4,16.389841,15.774768,15.344832,14.88401,15.985199928283691,15.484800338745117,15.306599617004395,15.258299827575684,177.74011758,-28.77643772
KAIT4,16.791405,16.061815,15.555977,15.005048,16.327899932861328,15.703200340270996,15.45359992980957,15.338700294494629,177.7345191,-28.74771439
KAIT4,16.818811,16.332474,15.987347,15.58047,16.48430061340332,16.12339973449707,15.991999626159668,15.976200103759766,177.71829109,-28.79040924
KAIT4,16.305712,15.775894,15.402185,14.960171,15.937299728393555,15.539999961853027,15.367400169372559,15.311699867248535,36.40272697,24.73480074
KAIT4,17.89607,16.758932,15.979503,15.176822,17.247900009155273,16.166799545288086,15.681099891662598,15.460800170898438,36.41682539,24.74787691
KAIT4,17.759237,16.858267,16.238037,15.6330805,17.220699310302734,16.42169952392578,16.092500686645508,15.945699691772461,36.45652571,24.74021434
